"ID","Title","Year","IMDb","Language"
"4042","The Duchess of Langeais","2007","6.5","French,Spanish"
"4043","Texas Chainsaw 3D","2013","4.8","English"
"4044","Boom for Real: The Late Teenage Years of Jean-Michel Basquiat","2018","6.5","English"
"4045","American Folk","2018","6.1","English"
"4046","Curvature","2017","4.8","English"
"4047","The Alchemist Cookbook","2016","5.1","English"
"4048","I, Frankenstein","2014","5.1","English"
"4049","Love After Love","2018","5.4","English"
"4050","The Houses October Built","2014","5.2","English"
"4051","Free Willy 2: The Adventure Home","1995","5.1","English,Danish,Malay,Dutch,Indonesian,Finnish,Luxembourgish,French Sign Language"
"4052","11 Minutes","2015","5.6","Polish,English"
"4053","Running with the Devil","2019","5.4","English,Spanish"
"4054","28 Hotel Rooms","2012","5.8","English"
"4055","Bolden","2019","5.6","English"
"4056","The Monkey King 3","2018","5.5","Mandarin,English"
"4057","Getting Go: The Go Doc Project","2013","7","English"
"4058","Sherlock Gnomes","2018","5.2","English,Mandarin"
"4059","Batman & Bill","2017","8","English"
"4060","Cruise","2018","5.3","English"
"4061","Distorted","2018","4.9","English"
"4062","The Numbers Station","2013","5.6","English"
"4063","In a Relationship","2018","5.5","English"
"4064","The Female Brain","2017","5.7","English"
"4065","Rags","2012","6.9","English"
"4066","The Gardener","2017","6.9","English"
"4067","100 Streets","2016","5.7","English"
"4068","Legendary","2010","6.2","English,Chinese"
"4069","And So It Goes","2014","5.8","English"
"4070","Chef Flynn","2018","6.7","English"
"4071","6 Below: Miracle on the Mountain","2017","5.7","English"
"4072","Back in Time","2015","6.3","English"
"4073","Tamara","2005","5.1","English"
"4074","Grace Jones: Bloodlight and Bami","2017","6.2","English,French"
"4075","Racer and the Jailbird","2017","6.3","Dutch,French"
"4076","Romeo & Juliet","2013","5.8","English,Latin"
"4077","Time Freak","2018","5.8","English"
"4078","Who Let the Dogs Out","2019","8.2",""
"4079","The Cage Fighter","2018","5.8","English"
"4080","Hollow in the Land","2017","5.6","English"
"4081","Fun Size","2012","5.4","English"
"4082","Black Gold","2011","6.7","English"
