movie,year,rating,imdb_rating,reelgood_rating
Never Rarely Sometimes Always,2020,13+,7.3,69
Bessie,2015,18+,6.6,69
Journey 2: The Mysterious Island,2012,7+,5.8,69
Thin,2006,13+,7.4,69
"3 ? Minutes, 10 Bullets",2015,18+,7.2,69
A Prairie Home Companion,2006,13+,6.7,69
Wimbledon,2004,13+,6.3,69
Six by Sondheim,2013,N/A,7.9,68
Confirmation,2016,16+,6.8,68
Taking Chance,2009,N/A,7.4,68
Jerrod Carmichael: 8,2017,18+,7.3,68
Path to War,2003,16+,7.3,68
Somewhere,2010,18+,6.3,68
Dick Tracy,1990,7+,6.1,68
The Loving Story,2011,N/A,7.6,68
Galveston,2018,N/A,6.2,68
Ice on Fire,2019,7+,7.4,68
Hours,2013,13+,6.4,68
Heart and Souls,1993,13+,7,68
I Am Evidence,2017,18+,7.6,68
Biloxi Blues,1988,13+,6.6,68
Banksy Does New York,2014,N/A,7.3,68
The Secret of My Success,1987,13+,6.5,68
The Jungle Book,1994,7+,6,68
The American,2010,18+,6.3,68
Frequently Asked Questions About Time Travel,2009,13+,7.1,68
Gary Gulman: The Great Depresh,2019,N/A,7.6,68
Miss Bala,2011,18+,6.5,68
Carmen and Lola,2018,N/A,7.1,67
Ghosts of Abu Ghraib,2007,18+,7.8,67
Into the Arms of Strangers: Stories of the Kindertransport,2000,13+,7.7,67
Everything Is Copy,2015,16+,7.4,67
Nell,1994,13+,6.5,67
The Change-Up,2011,18+,6.3,67
Heartbreakers,2001,13+,6.2,67
Twins,1988,7+,6.1,67
Sleight,2016,18+,5.9,67
Petra,2018,18+,6.7,67
Yuli,2018,N/A,7,67
Which Way Home,2009,N/A,7.8,67
Open Water,2003,18+,5.7,67
Diggstown,1992,18+,7,67
Exodus,1960,N/A,6.7,67
Blue Crush,2002,13+,5.7,67
Bedazzled,2000,13+,6,66
Broken Arrow,1996,18+,6.1,66
John Tucker Must Die,2006,13+,5.8,66
Mr. Popper's Penguins,2011,7+,6,66
Lifeforce,1985,18+,6.2,66
Kill Chain: The Cyber War on America's Elections,2020,16+,7.6,66
Breslin and Hamill: Deadline Artists,2018,7+,8,66
Planet of the Apes,2001,13+,5.7,66
David Bowie: The Last Five Years,2017,16+,7.5,66
Her Smell,2018,18+,6.1,66
Ricochet,1991,18+,6.2,66
Bridget Jones: The Edge of Reason,2004,18+,6,66
Something the Lord Made,2004,7+,8.2,66
Funny Farm,1988,7+,6.2,66
Twist of Faith,2005,18+,7.2,66
Child's Play 2,1990,18+,5.9,66
Walking and Talking,1996,18+,6.7,66
Down and Out in Beverly Hills,1986,18+,6.2,66
Dreamscape,1984,13+,6.3,66
Jaws 2,1978,7+,5.8,66
Our Man Flint,1966,N/A,6.5,66
Police Story 4: First Strike,1996,13+,6.6,66
Death Sentence,2007,18+,6.8,66
Happy Feet Two,2011,7+,5.9,65
The Great Gilly Hopkins,2015,7+,6.5,65
The Sentence,2018,7+,6.7,65
Astro Boy,2009,7+,6.3,65
The Astronaut Farmer,2006,7+,6.3,65
Flicka,2006,7+,6.1,65
The Last Kiss,2006,18+,6.4,65
Marathon: The Patriots Day Bombing,2016,18+,7.9,65
The Apollo,2019,7+,6.4,65
"If You're Not In The Obit, Eat Breakfast",2017,13+,7.5,65
Lovelace,2013,18+,6.2,65
"Diana, Our Mother: Her Life and Legacy",2017,all,7.6,65
Teen Witch,1989,13+,6.1,65
An Unexpected Love,2018,16+,6.8,65
Mr. Magorium's Wonder Emporium,2007,all,6.2,65
Jersey Girl,2004,13+,6.2,65
Beware the Slenderman,2016,16+,6.2,65
Little,2019,13+,5.5,65
The Special Relationship,2010,16+,6.7,65
First Cousin Once Removed,2012,N/A,7.5,65
AVP: Alien vs. Predator,2004,13+,5.6,65
The Kitchen,2019,13+,5.5,64
Glee: The Concert Movie,2011,7+,5.4,64
Don't Tell Mom the Babysitter's Dead,1991,13+,6.3,64
O.G.,2018,18+,6.2,64
Chris Gethard: Career Suicide,2017,18+,7.6,64
The Ruins,2008,18+,5.9,64
Nancy Drew and the Hidden Staircase,2019,7+,5.7,64
Brighton Beach Memoirs,1986,13+,6.8,64
CB4,1993,18+,6.3,64
Moonlight Mile,2002,13+,6.6,64
A Boy Called Sailboat,2018,N/A,6.7,64
The Hot Chick,2002,13+,5.5,64
Coyote Lake,2019,18+,5.2,64
They Came Together,2014,18+,5.5,64
Green Card,1990,13+,6.2,64
Against the Wall,1994,18+,6.7,64
A Family Thing,1996,13+,7,64
Thought Crimes,2015,18+,6.4,64
Gamer,2009,18+,5.8,64
"Endings, Beginnings",2020,N/A,5.8,64
Atomic Homefront,2017,N/A,7.4,64
The Pacifier,2005,7+,5.6,64
Stuart: A Life Backwards,2007,18+,7.8,64
Class Divide,2016,7+,7.4,64
Clear History,2013,18+,6.5,64
Piranha,1978,18+,5.9,64
Belly,1998,18+,6.2,64
Shadows and Fog,1991,13+,6.7,64
Edtv,1999,13+,6.1,64
The Swamp,2020,16+,6.5,63
Bandidas,2006,13+,5.7,63
How to Make an American Quilt,1995,13+,6.3,63
Grudge Match,2013,13+,6.4,63
Michelle Wolf: Nice Lady,2017,18+,6.6,63
Hello Ladies: The Movie,2014,N/A,6.7,63
Baltimore Rising,2017,18+,6.2,63
What's Your Number?,2011,18+,6.1,63
The Big Year,2011,7+,6.2,63
Drop Dead Fred,1991,13+,6,63
The Immortal Life of Henrietta Lacks,2017,18+,6.3,63
Papi Chulo,2019,18+,6.4,63
The Wizard,1989,7+,6.1,63
The Art of Getting By,2011,13+,6.6,63
Sky High,2005,7+,6.2,63
At the Heart of Gold: Inside the USA Gymnastics Scandal,2019,13+,8.1,63
Paterno,2018,18+,6.5,62
Chris Rock: Kill the Messenger,2008,18+,7.7,62
Josie and the Pussycats,2001,13+,5.4,62
Hear and Now,2007,N/A,7.8,62
The Final Year,2018,N/A,6.4,62
September,1987,7+,6.5,62
Babe: Pig in the City,1998,all,5.7,62
Bad Influence,1990,18+,6.2,62
Larry David: Curb Your Enthusiasm,1999,18+,8.4,62
The Newspaperman: The Life and Times of Ben Bradlee,2017,16+,7.3,62
Idlewild,2006,18+,6.2,62
Dirty Dancing: Havana Nights,2004,13+,6,62
Sometimes in April,2005,18+,7.9,62
The Good Son,1993,18+,6.4,62
Icebox,2018,16+,5.8,62
Will Ferrell: You're Welcome America - A Final Night with George W. Bush,2009,N/A,7.1,62
Dave Chappelle: Killin' Them Softly,2000,18+,8.8,62
Iron Jawed Angels,2004,16+,7.5,62
Voyage of the Damned,1976,7+,6.4,62
Six Days Seven Nights,1998,13+,5.8,62
The Curse of La Llorona,2019,18+,5.3,62
Daniel Sloss: X,2019,18+,8.4,62
Like Mike,2002,7+,5.3,62
Baby's Day Out,1994,7+,6.1,62
The Resurrection of Gavin Stone,2017,7+,6.2,62
The Warrior's Way,2010,18+,6.3,61
All the Right Moves,1983,18+,5.9,61
Housesitter,1992,7+,6.1,61
Class,1983,18+,6,61
Flight of the Phoenix,2004,13+,6.1,61
Fur: An Imaginary Portrait of Diane Arbus,2006,18+,6.5,61
Say Her Name: The Life and Death of Sandra Bland,2018,18+,6.6,61
Nightingale,2014,N/A,6.4,61
Last Knights,2015,18+,6.2,61
Pushing Tin,1999,18+,6,61
Trouble in Mind,1985,18+,6.6,61
Daylight,1996,13+,5.9,61
